solution_id,source_id,global_ranking,reference_time,frequency,frequency_error,geom_model_reference_level,geom_model_reference_level_error,geom_model_gaussian1_phase,geom_model_gaussian1_phase_error,geom_model_gaussian1_sigma,geom_model_gaussian1_sigma_error,geom_model_gaussian1_depth,geom_model_gaussian1_depth_error,geom_model_gaussian2_phase,geom_model_gaussian2_phase_error,geom_model_gaussian2_sigma,geom_model_gaussian2_sigma_error,geom_model_gaussian2_depth,geom_model_gaussian2_depth_error,geom_model_cosine_half_period_amplitude,geom_model_cosine_half_period_amplitude_error,geom_model_cosine_half_period_phase,geom_model_cosine_half_period_phase_error,model_type,num_model_parameters,reduced_chi2,derived_primary_ecl_phase,derived_primary_ecl_phase_error,derived_primary_ecl_duration,derived_primary_ecl_duration_error,derived_primary_ecl_depth,derived_primary_ecl_depth_error,derived_secondary_ecl_phase,derived_secondary_ecl_phase_error,derived_secondary_ecl_duration,derived_secondary_ecl_duration_error,derived_secondary_ecl_depth,derived_secondary_ecl_depth_error
3.75317E+17,2.02738E+18,0.4655018,2201.856795,3.020259508,1.64E-05,19.66545,0.009734591,0.1680264,0.005431499,0.08859229,0.005800436,0.26436418,0.017294317,0.6565633,0.005166418,0.091629155,0.00652145,0.24428174,0.013377853,null,null,null,null,TWOGAUSSIANS,8,1.7819709,0.1680264,0.005431499,0.4,0,0.25531265,0.017073164,0.6565633,0.005166418,0.4,0,0.23523009,0.012347973
3.75317E+17,2.02738E+18,0.64385813,2236.431498,0.529444589,5.61E-06,17.260874,0.00173539,0.30350104,0.001549021,0.02498461,0.001171785,0.5260902,0.019092022,0.8048195,0.003219626,0.024068998,0.002244083,0.574764,0.03311329,0.010076522,0.002716265,0.30350104,0.001549021,TWOGAUSSIANS_WITH_ELLIPSOIDAL_ON_ECLIPSE1,9,4.4120393,0.8048195,0.003219626,0.13478638,0.012566863,0.5949157,0.033098202,0.30350104,0.001549021,0.13991381,0.006561997,0.54624325,0.018755954
3.75317E+17,2.02738E+18,0.4603055,2196.899831,0.565598951,3.41E-05,18.251984,0.016110277,0.106947355,0.027440686,0.040172864,0.018983733,0.13200091,0.041072767,0.6127104,0.002691948,0.036781687,0.003600866,1.0247369,0.12454746,null,null,null,null,TWOGAUSSIANS,8,63.563747,0.6127104,0.002691948,0.20597745,0.02016485,1.0247369,0.12454746,0.106947355,0.027440686,0.22496805,0.10630891,0.13200091,0.041072767
3.75317E+17,2.02738E+18,0.5057435,2219.166606,0.603197829,1.12E-06,19.844275,0.004618757,0.6306708,1.37E-09,6.27E-04,2.70E-06,2.70613,0.013956256,0.90877897,0.004037782,0.019500062,0.003403894,0.09255335,0.025397774,null,null,null,null,TWOGAUSSIANS,8,1.6448065,0.6306708,1.37E-09,0.003511495,1.51E-05,2.70613,0.013956256,0.90877897,0.004037782,0.10920034,0.019061806,0.09255335,0.025397774
3.75317E+17,2.02738E+18,0.52345294,2207.890012,2.439025825,1.06E-05,19.549324,0.011190932,0.24955057,0.002425357,0.07369034,0.003675789,0.4656375,0.013189451,0.76820654,0.004644508,0.070675455,0.008772672,0.37498972,0.036686484,null,null,null,null,TWOGAUSSIANS,8,2.136675,0.24955057,0.002425357,0.4,0,0.46431893,0.012797578,0.76820654,0.004644508,0.39578253,0.027832055,0.3736711,0.037557002
3.75317E+17,2.02738E+18,0.46684307,2221.508768,0.117958437,4.74E-06,19.874252,0.00541944,0.46854147,1.50E-04,0.006741074,1.72E-04,0.5265574,0.009460365,0.61275995,0.001399741,0.004956076,0.003593721,0.112217054,0.0343543,null,null,null,null,TWOGAUSSIANS,8,1.6395648,0.46854147,1.50E-04,0.037750017,9.63E-04,0.5265574,0.009460365,0.61275995,0.001399741,0.027754024,0.02012484,0.112217054,0.0343543
3.75317E+17,2.02738E+18,0.45275167,2215.947222,0.489862511,7.67E-06,19.038996,0.003464724,0.13176729,0.003458016,0.023350874,0.004287926,0.100825645,0.014039449,0.63256365,0.001317378,0.018852303,0.002150799,0.1707968,0.036020406,null,null,null,null,TWOGAUSSIANS,8,2.4264526,0.63256365,0.001317378,0.1055729,0.012044476,0.1707968,0.036020406,0.13176729,0.003458016,0.13076489,0.024012385,0.100825645,0.014039449
3.75317E+17,2.02738E+18,0.5095649,2217.480534,0.791413326,2.10E-05,19.463675,0.005625453,0.23298651,0.001179803,0.029639363,0.001285687,0.36989945,0.012893308,0.74845463,0.019960267,0.020808268,0.011794501,0.14200552,0.27558225,null,null,null,null,TWOGAUSSIANS,8,2.035756,0.23298651,0.001179803,0.16598043,0.007199846,0.36989945,0.012893308,0.74845463,0.019960267,0.1165263,0.0660492,0.14200552,0.27558225
3.75317E+17,2.02738E+18,0.53137124,2223.237139,1.352060934,8.39E-06,17.994617,0.004485963,0.27731195,0.002214663,0.03584181,0.002303092,0.38287997,0.01611229,0.7722757,0.002991589,0.02366132,0.003307187,0.35857192,0.16040327,null,null,null,null,TWOGAUSSIANS,8,9.432259,0.27731195,0.002214663,0.20071414,0.012897316,0.38287997,0.01611229,0.7722757,0.002991589,0.13250339,0.018520247,0.35857192,0.16040327
3.75317E+17,2.02739E+18,0.5478856,2216.588779,3.285731091,7.22E-06,18.626078,0.007944267,0.2640358,0.001715729,0.04783566,0.003713419,0.21752316,0.026331479,0.7703253,0.004017209,0.041955363,0.004770216,0.13980117,0.021809552,0.1039221,0.011357136,0.2640358,0.001715729,TWOGAUSSIANS_WITH_ELLIPSOIDAL_ON_ECLIPSE1,9,4.185762,0.2640358,0.001715729,0.2678797,0.02079515,0.4253671,0.01997634,0.7703253,0.004017209,0.23495004,0.02671321,0.34732068,0.011186776
