parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error
-33.52243678,1.528754579,14.96292215,2.046180332,6.854417698,2.027845655,-2.954882292,9.850103891
-26.88930442,0.958538989,30.31739557,1.372530554,-15.24630192,1.52664249,-14.39527941,8.403730577
-22.43665587,1.089107712,-7.824528011,2.256419887,0.316095872,1.936681952,-27.49896568,4.334793179
-19.10130254,1.250343228,25.35664785,2.021028029,9.674304868,1.505402644,-51.22200155,1.644398959
-18.60005109,1.28542128,-2.010683979,1.806902229,7.990477989,1.956600684,-8.001140856,0.832284636
-17.56509437,0.744410302,-1.133402139,1.03782667,11.91477059,1.0562971,4.257698264,5.959257373
-17.4208708,0.73117168,-7.828369243,1.446442059,-18.69522438,1.184699803,-43.99064694,2.4558486
-15.76707964,0.968126008,10.00472332,1.131690664,9.315255792,0.960802153,0.1634026,1.58122683
-15.69593276,1.414966081,5.003436572,2.141788946,5.204054141,2.334679916,-30.41003164,3.286835001
-15.43078367,1.15211998,-6.286217571,1.743074789,13.78460793,1.881440442,-46.12429288,2.228753483
-15.11725676,1.149585646,12.99952275,1.840119911,-0.028324822,1.682589729,-30.76039058,7.146939828
-14.33678813,0.921996796,-15.13701409,1.616364123,47.47464247,1.577609917,-63.80699885,6.489449522
-14.12487376,1.198590569,-18.86118274,2.085172818,-10.96975112,2.049315613,-17.09027148,2.154789326
-13.89859536,1.096235024,8.779638573,1.81975631,-8.842671515,1.768753391,-17.25428909,2.334055405
-13.8634552,1.170889907,14.36062298,1.804161376,-1.212722002,1.231388711,-7.270768751,3.407517929
-13.45250612,0.886448738,-28.35570551,1.573271096,-11.00292554,1.396710451,-5.852274125,3.896977038
-13.29255868,1.151443112,-3.537545228,1.902380007,-10.46382996,1.742415021,5.075869415,0.674868011
-13.08036953,0.387253495,-26.56371562,0.692623384,-14.83035952,0.708587637,22.97508063,3.219026279
-12.63035566,1.14533051,-3.63083835,1.997400065,-11.85685621,1.976148856,10.55531923,6.063475776
-12.58281057,1.172174084,10.23935114,1.820644595,-23.00785194,1.408843072,-2.072781959,0.766669199
-11.95675738,0.603994882,9.517552035,0.880690038,-2.836475208,1.022406495,-11.14198738,7.334838561
-11.86285356,0.945693928,4.341421364,1.871557681,6.900509974,1.55226047,-54.91762576,2.040104747
-11.75732125,1.335375731,4.014444854,2.031340229,-29.58965683,1.844801024,-9.560346474,2.080752824
-11.71173655,1.398838925,10.3034197,2.09257232,-18.42314916,2.298156569,-19.4788702,1.10610375
-11.59988228,0.719068708,-6.639814998,0.954744836,2.601189701,0.966387,13.54084489,0.975518822
-11.57137892,1.305269295,8.106996169,1.958050179,-33.90387736,2.138964851,-23.53524583,2.102505366
-11.40594723,0.73568917,19.3539772,1.11042859,2.214083585,1.195977618,-31.66453379,2.193449472
-11.38964344,1.295135808,2.49073908,1.98625192,-0.704677247,2.035403538,7.084777019,2.579990603
-11.25364933,1.085230908,12.43253816,1.186811889,-39.58957996,1.384407785,-43.91855786,2.679685128
-11.21899794,0.596357089,3.368711306,0.789487201,-3.961448785,0.818079512,43.80561008,7.121452426
-11.00531928,0.897017268,6.474154014,1.342093631,-0.897713781,1.343729913,25.12903013,8.956744192
-10.99165012,1.209505969,1.56047412,1.862578396,-9.796655225,1.925459911,-1.627876735,3.46519939
-10.93903061,0.467910567,-0.790412468,0.639259806,-1.421943728,0.726149007,-58.56857821,0.842482087
-10.79562658,1.228389815,-13.8016382,1.568023451,12.42511504,1.515407853,16.19983168,2.294686615
-10.78505231,0.921560154,7.784134157,0.994919645,18.56292183,1.155958417,-29.81609462,2.766867998
-10.69359465,0.589387329,20.83053233,1.105295986,-18.98693774,0.99775152,1.516624504,3.040457327
-10.56935504,0.521931674,11.35929869,0.794742182,0.118737022,0.732299536,-5.046749696,2.615403476
-10.25385846,0.849131728,-8.09088359,1.408102234,-3.244033254,1.578125849,0.480095992,0.412573528
-10.10352078,0.845954931,-5.523204409,1.415342605,-8.420438943,1.379374838,22.11852276,13.66523861
-10.0407863,0.544702311,5.54393553,0.67248278,6.081744823,0.621509796,-12.7393538,1.761370701
-10.01459601,0.734149414,15.68087787,1.79391232,-11.31019094,1.974174833,16.72400655,0.830103457
-9.994776467,0.630206548,-2.841333455,0.855926387,-4.218169833,0.784408501,29.05370948,2.911780096
-9.91325272,1.07248348,20.74490706,0.759002117,-56.79625159,1.349793803,6.278687864,3.91480909
-9.791833956,0.537157562,-1.429763318,0.623649086,-4.312453796,0.807397737,2.407351469,1.251763573
-9.75236985,1.134365227,-1.972982382,1.549070813,0.959251093,1.410262031,-72.62340592,7.760856159
-9.676647388,1.295439554,1.16103286,2.090535135,-10.07193045,2.021145555,-17.76718948,6.44890963
-9.610212489,1.533066658,-11.851916,2.263026028,-9.52276756,2.241419602,-2.734440363,3.880541381
-9.570544576,1.029608119,3.080769885,1.740015439,-3.419547064,1.879890556,-16.21327715,3.881724056
-9.554397263,0.390958569,-5.644675012,0.485358448,-7.724255585,0.547482131,7.985010941,10.06384898
-9.402639563,1.123637478,-12.00311167,1.888566992,10.57287941,1.95367683,-41.37080067,2.852126317
-9.370169049,1.336376793,-5.793097606,1.776676319,-33.06956074,1.734979445,-39.60976011,2.67876228
-9.309466405,0.316007828,17.30574948,0.457799958,8.441723577,0.445486165,-17.13613519,3.246720077
-9.262943593,0.785868584,-15.76933875,2.020492338,27.54334489,2.032915449,-34.94648132,3.019753134
-9.141856581,1.295468502,-2.966770486,1.590986976,-19.81232152,1.718733768,10.16315705,2.990818783
-9.070613972,1.121331706,12.54191542,1.794718829,14.12481882,1.776654365,-5.894525797,10.20939662
-9.003697787,1.189651984,14.09108675,1.787977992,-1.451451088,1.777255981,-59.43732038,3.354329821
-8.983255699,0.493901183,21.32762823,0.573173396,-49.24904236,0.58329858,-18.37622297,1.28964575
-8.786339328,0.874221195,-1.838265926,1.34046226,-6.115001799,1.404582635,6.956980618,0.477705629
-8.768422074,0.972980113,0.146147483,1.50588617,-23.86630265,1.65333628,20.9180634,1.288733425
-8.745516725,1.085807549,-12.83839555,2.275843932,-12.0638735,2.256011694,-0.186880569,18.81543443
-8.735011535,0.490074978,-4.032551987,0.57093609,-7.160965076,0.794144264,3.388521627,9.254075854
-8.696264692,0.878882506,-8.05729373,0.955538411,-4.038077691,1.191371167,-27.98826304,2.563206633
-8.674417403,0.578121934,12.68989211,0.734056514,5.441583505,0.59235812,-210.2775751,2.605741356
-8.656400805,1.057597394,-7.083399303,2.255367003,8.518630639,1.997474076,-2.310272022,7.440527683
-8.64322642,0.470853214,0.694978362,0.583597996,3.997650008,0.512331576,-39.5585253,0.733802155
-8.602396633,0.567250031,3.400351849,0.658844328,0.549804686,0.831387609,-10.64032896,3.182225142
-8.555930408,1.403307391,-28.60032836,2.3701297,8.619912568,2.221674358,5.360634885,1.167750108
-8.505184968,1.011460083,-11.58026763,1.606462748,-7.947933381,1.590150595,-28.57972551,1.082198953
-8.35356774,0.559210992,2.585312777,0.792606369,-10.03655846,0.729810723,18.30642344,2.930151747
-8.330834103,0.619200712,0.582249528,0.942596511,-4.773597467,0.986553179,15.75496329,1.50748303
-8.293961449,0.756569329,29.26874481,1.254655498,-9.810083773,1.285600551,31.95688279,2.014907429
-8.210094353,0.87246647,2.550889824,1.160380806,16.65081127,1.265437867,-45.3147997,6.414977845
-8.136147159,0.617136165,-9.604688111,0.882581354,6.09557635,0.980103568,-85.66275899,18.38811074
-8.056302214,1.018798278,26.82060033,1.493731686,29.30262955,1.442669283,-78.1735356,1.568529263
-8.033542569,0.725796779,7.354695429,0.86302343,11.12319602,0.964548101,-48.82020022,2.86662648
-8.018913921,0.526898511,15.40571155,0.598654552,-17.61147261,0.673246555,-56.82580891,0.706866249
-7.889167993,0.937332325,-4.412171441,1.560854003,3.128917815,1.378923918,-30.20510094,13.65298501
-7.868693537,0.936448656,5.513156339,1.672612076,-31.06811513,1.424699117,8.823715083,0.589672717
-7.863194,0.871808229,-4.353282704,1.505480093,-1.662964977,1.597586672,10.55959878,13.85936455
-7.862648187,1.235688089,44.33748915,1.83322151,24.91435187,1.882973442,-4.213946602,1.253349764
-7.843018049,0.911962115,-3.936054487,1.355585292,-8.649103031,1.316756857,-12.3081451,2.05759504
-7.828317236,0.796190182,14.6897126,1.913946643,5.235305709,1.687889286,24.35365078,2.52453892
-7.812767216,0.49576902,2.88167846,0.550162514,0.135952283,0.751175964,-51.47702334,1.81377057
-7.800523715,0.656542902,-5.677910417,0.638243718,-18.60256119,0.826810924,-28.68604409,0.364307054
-7.799611018,0.923306899,5.714510624,1.505152562,-2.660928944,1.684623599,-18.38470287,0.873966468
-7.797711992,1.461000529,9.382321119,2.090740339,-14.26623855,2.147640552,-54.19209894,4.756950691
-7.782191781,0.731154452,-4.409993227,1.062083252,-6.736554173,1.035243955,16.40194391,0.259897433
-7.731445708,1.123669302,-12.56060974,1.91141767,-21.23679594,1.758396417,-10.48586769,1.490484671
