phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper
27.63083621,6331.898,12.581046,33,95058.12823,122.5426607,775.7146,12.906415,33,115216.4135,102.30499,1126.2052,12.108134,1.2018734,0,0.7982807,0.32536888,0.47291183,-25.57199391,2.710745588,10,6000,3.5,0,NOT_AVAILABLE,130.3083905,53.01116869,142.976967,56.1267795,100001,5835,5778,6170.517,0.2333,0.0173,0.35,0.097,0,0.174,200111,1.2883675,1.1520687,1.3139124,1.7335553,1.6969951,1.7701155
45.58295257,6028.5884,12.09082,32,159522.1629,195.4555811,816.1556,12.344336,29,169428.3487,146.552697,1156.0917,11.689455,1.1970505,0,0.6548805,0.25351524,0.40136528,17.96325002,1.611341362,8,6250,4.5,0,NOT_AVAILABLE,130.1989381,52.89603876,142.8558748,56.24106648,100001,6420.5,6298,6850.3335,0.248,0.1105,0.427,0.115,0.0643,0.1721,200111,1.2926931,1.1355591,1.3434695,2.558356,2.5047605,2.6119516
43.43552704,7217.0415,11.947855,31,166078.0226,127.8122985,1299.39,12.300608,29,212515.4348,177.8504102,1194.9111,11.443444,1.2077271,0,0.8571634,0.3527527,0.50441074,-27.83834962,0.513581731,12,5500,4.5,0,NOT_AVAILABLE,130.4245914,52.70357668,142.4337493,56.21668474,100001,5719.6235,5535.0576,5806,0.0427,0.03,0.0953,0.0195,0.0109,0.033,200111,0.8824417,0.8563807,0.9422727,0.75082123,0.7432094,0.75843304
25.6176697,7185.42,12.525887,32,94198.59395,106.1425485,887.47253,12.916277,32,128225.9515,77.90352632,1645.9583,11.991981,1.2083449,0,0.9242964,0.3903904,0.533906,-63.59248092,1.052744535,13,5500,4.5,0,NOT_AVAILABLE,129.7086692,53.03994524,143.3473703,56.42451663,100001,5567,5304.25,6222.3,0.406,0.2569,0.4827,0.1963,0.1425,0.218,200111,1.1722748,0.93836117,1.2912904,1.1891551,1.1686443,1.2096659
40.00493566,2565.968,13.159954,30,25164.67446,50.05114108,502.77924,14.34941,29,118075.9633,115.4616432,1022.6423,12.081516,1.3954086,0,2.2678938,1.189456,1.0784378,-54.58352639,1.856860896,6,4000,3,-1.5,NOT_AVAILABLE,129.9823447,52.86997233,142.932118,56.36745214,100001,3977.97,3663.75,4440.46,0.263,0.09,0.3383,0.132,0.0502,0.1798,0,,,,,,
51.33154296,6336.853,11.907721,34,135419.0668,126.5935618,1069.7153,12.522188,32,268954.8692,179.41901,1499.0322,11.187721,1.2431548,0,1.3344669,0.6144676,0.7199993,-12.083232,0.437659413,11,4500,3,0,NOT_AVAILABLE,129.7567436,52.81607801,142.9709664,56.51240396,100001,4725.7,4672.46,4819.53,0.5455,0.2287,2.4064,0.253,0.1303,1.1438,200111,7.0526795,6.780741,7.2143188,22.349495,21.230507,23.468483
1157.574897,2366.1091,9.594406,30,1410464.497,1973.954832,714.53735,9.9779825,31,1878724.169,3212.222319,584.86743,9.077263,1.2008946,0,0.90071964,0.3835764,0.51714325,-9.655706359,0.614922193,7,5750,4.5,0,NOT_AVAILABLE,129.8769497,52.76547174,142.8257291,56.47476075,100001,5412.6665,5350.525,5680,0.0233,0.0113,0.1633,0.0107,0.0039,0.0695,200111,0.9207324,0.83610207,0.9422436,0.6555512,0.6533815,0.65772086
138.2973975,3390.5647,11.510651,36,180546.2022,171.364036,1053.5828,12.209917,36,409952.4204,283.8294748,1444.3617,10.730086,1.2593105,0,1.4798307,0.69926643,0.7805643,-9.070536777,0.548045806,10,4000,3,0,NOT_AVAILABLE,129.8615097,52.74657452,142.8044936,56.49228015,100001,4351,4258.3633,4456,0.054,0.0195,0.4213,0.0583,0.0089,0.217,200111,0.6764485,0.6449448,0.70619965,0.14774764,0.14728902,0.14820625
266.9416313,2549.853,11.106037,35,287771.2435,347.1378241,828.98267,11.70377,34,552104.5245,371.4611318,1486.3049,10.406867,1.2339103,0,1.2969027,0.59773254,0.6991701,-22.17859199,0.55029571,9,5000,3,0,NOT_AVAILABLE,129.8246981,52.74274834,142.8186193,56.51350432,100001,4703.3633,4626.625,4858.1777,0.0883,0.016,0.169,0.043,0.0106,0.0821,200111,10.919727,10.234863,11.284966,52.571747,49.83838,55.305115
35.23614112,4278.266,12.742725,27,56260.66757,89.37720326,629.4745,13.475876,27,136051.2492,84.59375691,1608.2894,11.927664,1.2757044,0,1.548212,0.7331505,0.81506157,25.6034908,1.581661501,7,4000,3,0,NOT_AVAILABLE,130.0952987,52.64599104,142.5193912,56.41898506,100001,4395.245,4299.26,4505.4897,0.479,0.3663,0.8306,0.228,0.144,0.3611,200111,0.67635703,0.6436625,0.70689493,0.15380809,0.15279374,0.15482244
