radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper
-25.57199391,2.710745588,10,6000,3.5,0,NOT_AVAILABLE,130.3083905,53.01116869,142.976967,56.1267795,100001,5835,5778,6170.517,0.2333,0.0173,0.35,0.097,0,0.174,200111,1.2883675,1.1520687,1.3139124,1.7335553,1.6969951,1.7701155
17.96325002,1.611341362,8,6250,4.5,0,NOT_AVAILABLE,130.1989381,52.89603876,142.8558748,56.24106648,100001,6420.5,6298,6850.3335,0.248,0.1105,0.427,0.115,0.0643,0.1721,200111,1.2926931,1.1355591,1.3434695,2.558356,2.5047605,2.6119516
-27.83834962,0.513581731,12,5500,4.5,0,NOT_AVAILABLE,130.4245914,52.70357668,142.4337493,56.21668474,100001,5719.6235,5535.0576,5806,0.0427,0.03,0.0953,0.0195,0.0109,0.033,200111,0.8824417,0.8563807,0.9422727,0.75082123,0.7432094,0.75843304
-63.59248092,1.052744535,13,5500,4.5,0,NOT_AVAILABLE,129.7086692,53.03994524,143.3473703,56.42451663,100001,5567,5304.25,6222.3,0.406,0.2569,0.4827,0.1963,0.1425,0.218,200111,1.1722748,0.93836117,1.2912904,1.1891551,1.1686443,1.2096659
-54.58352639,1.856860896,6,4000,3,-1.5,NOT_AVAILABLE,129.9823447,52.86997233,142.932118,56.36745214,100001,3977.97,3663.75,4440.46,0.263,0.09,0.3383,0.132,0.0502,0.1798,0,,,,,,
-12.083232,0.437659413,11,4500,3,0,NOT_AVAILABLE,129.7567436,52.81607801,142.9709664,56.51240396,100001,4725.7,4672.46,4819.53,0.5455,0.2287,2.4064,0.253,0.1303,1.1438,200111,7.0526795,6.780741,7.2143188,22.349495,21.230507,23.468483
-9.655706359,0.614922193,7,5750,4.5,0,NOT_AVAILABLE,129.8769497,52.76547174,142.8257291,56.47476075,100001,5412.6665,5350.525,5680,0.0233,0.0113,0.1633,0.0107,0.0039,0.0695,200111,0.9207324,0.83610207,0.9422436,0.6555512,0.6533815,0.65772086
-9.070536777,0.548045806,10,4000,3,0,NOT_AVAILABLE,129.8615097,52.74657452,142.8044936,56.49228015,100001,4351,4258.3633,4456,0.054,0.0195,0.4213,0.0583,0.0089,0.217,200111,0.6764485,0.6449448,0.70619965,0.14774764,0.14728902,0.14820625
-22.17859199,0.55029571,9,5000,3,0,NOT_AVAILABLE,129.8246981,52.74274834,142.8186193,56.51350432,100001,4703.3633,4626.625,4858.1777,0.0883,0.016,0.169,0.043,0.0106,0.0821,200111,10.919727,10.234863,11.284966,52.571747,49.83838,55.305115
25.6034908,1.581661501,7,4000,3,0,NOT_AVAILABLE,130.0952987,52.64599104,142.5193912,56.41898506,100001,4395.245,4299.26,4505.4897,0.479,0.3663,0.8306,0.228,0.144,0.3611,200111,0.67635703,0.6436625,0.70689493,0.15380809,0.15279374,0.15482244
-27.56309752,0.519352623,8,6000,4.5,0,NOT_AVAILABLE,130.9258792,53.49382346,143.3993456,55.56712925,100001,5827.35,5589.75,5953.05,,,,,,,0,,,,,,
-12.49998601,0.52622897,4,5250,4.5,0,NOT_AVAILABLE,131.0496644,53.43836319,143.2499643,55.53018772,100001,5020.4604,4937.717,5112.165,,,,,,,200111,4.950285,4.7742763,5.1175833,14.025853,13.579371,14.472335
30.92690758,0.417479362,8,4750,4.5,0,NOT_AVAILABLE,130.9205482,53.42851023,143.3015269,55.60204837,100002,4740.965,4676.75,4840.3335,0.261,0.0364,2.1234,0.1645,0.0427,1.104,200111,14.092332,13.519659,14.481982,90.39145,83.893654,96.889244
-26.13369224,0.925236015,11,6250,4.5,0,NOT_AVAILABLE,130.9139559,53.41558792,143.2850262,55.61182302,100001,6194.25,6058.75,6298,0.2553,0.158,0.332,0.1395,0.0829,0.1738,200111,1.2318962,1.1916432,1.2876135,2.0127873,1.9808679,2.0447068
2.517034787,0.292956972,8,4750,4.5,0,NOT_AVAILABLE,131.0134125,53.37002108,143.1632726,55.58247109,100002,4915.045,4876.1333,4990.7,,,,,,,200111,3.6733096,3.5627844,3.7321696,7.094466,6.9941072,7.194825
10.65633443,1.12308112,6,6000,3.5,0,NOT_AVAILABLE,131.0441882,53.24962583,142.9613171,55.62510039,100001,6829,6762,6925,,,,,,,200111,1.3091766,1.2731304,1.3352486,3.3583012,3.286728,3.4298744
-43.14786732,2.458178693,10,5000,3,-1.5,NOT_AVAILABLE,131.4315726,53.4586983,143.0864192,55.32154741,100001,5327.6665,5267.1304,5340,,,,,,,200111,2.2717674,2.2612855,2.3242872,3.746024,3.6097145,3.8823333
-3.595990025,2.460460059,8,5000,3,0,NOT_AVAILABLE,131.435301,53.3991853,142.9928706,55.34829811,100002,5026.3335,4964.5,5098.8066,0.173,0.0659,0.4017,0.083,0.032,0.196,200111,0.7752194,0.75333846,0.79465055,0.34558043,0.34125054,0.34991032
-1.952578156,1.90288051,5,5500,4.5,0,NOT_AVAILABLE,131.6042035,53.15152158,142.5251699,55.37784722,100001,4971,4933.14,5067.39,,,,,,,200111,4.3816304,4.216524,4.449143,10.56188,9.867837,11.255923
-39.56384276,0.848418389,4,5500,3.5,-1.5,NOT_AVAILABLE,131.5550141,53.17800044,142.5908285,55.39124903,100001,6473.3335,6255,6744,,,,,,,200111,2.1827703,2.011078,2.3378108,7.53742,7.254335,7.8205047
-25.20281808,8.690178703,4,5500,4.5,0,NOT_AVAILABLE,131.2923208,53.27399991,142.872051,55.48341742,100001,5369.5,5353.5,5402.25,0.4313,0.125,0.6776,0.221,0.0939,0.382,200111,1.2309829,1.216103,1.238352,1.1348386,1.1121325,1.1575446
-46.16125056,0.975624806,10,5750,4.5,0,NOT_AVAILABLE,131.5416566,53.12698902,142.5184434,55.42251285,100001,5769.5,5725,5814,0.9905,0.609,1.3538,0.5383,0.3023,0.6966,200111,1.6421069,1.617066,1.6677341,2.6918466,2.6417775,2.7419157
-10.23456879,0.766901997,11,5750,4.5,0,NOT_AVAILABLE,131.5765487,53.02736912,142.3462525,55.45116359,100001,5958.6665,5857.3335,6636.6665,0.1063,0.013,0.205,0.0403,0.0065,0.0985,200111,1.136949,0.9165141,1.1766281,1.4681586,1.4399375,1.4963797
-5.816590794,0.713459515,11,6250,4.5,0,NOT_AVAILABLE,130.8132347,53.27535011,143.1207921,55.73308549,100001,6341.5,6114,6564.17,,,,,,,200111,2.0217261,1.8868904,2.1749809,5.9553504,5.8374605,6.0732403
-33.14165942,0.541409539,14,5500,4.5,0,NOT_AVAILABLE,130.8469525,53.15678381,142.9194955,55.77349589,100001,5259,5064.75,5761.9336,0.1633,0.0584,0.3606,0.1035,0.0304,0.183,200111,0.927125,0.7723393,0.9996054,0.5923576,0.58746976,0.5972454
-37.1342993,0.550398092,13,5500,4.5,0,NOT_AVAILABLE,131.0990974,53.137479,142.7592563,55.65064063,100001,5106.62,5016.8477,5695.3335,0.158,0.14,0.1701,0.078,0.0697,0.106,200111,0.83879185,0.6743463,0.8690795,0.4310596,0.4275351,0.4345841
-5.05234995,9.254708432,12,5500,4.5,0,NOT_AVAILABLE,130.9106462,53.05147464,142.7227889,55.79128578,100002,5311,5187,5348,0.5255,0.4265,0.6291,0.2603,0.2147,0.3173,200111,1.1236787,1.1081842,1.178046,0.90507424,0.8821861,0.92796236
-0.967493015,0.257058192,9,4500,3,0,NOT_AVAILABLE,130.8807195,53.05090836,142.7374255,55.80729321,100001,4325.755,4258.54,4511.25,0.453,0.284,1.0418,0.2153,0.1309,0.4858,200111,16.566431,15.232071,17.093512,86.57654,83.49307,89.66
-22.35525204,4.239247606,9,5500,4.5,0,NOT_AVAILABLE,131.2595934,52.94078853,142.3712897,55.66022668,100001,5040.1265,4907.66,5142.9697,0.183,0.142,0.2353,0.0895,0.0694,0.1187,200111,0.8748426,0.8402042,0.92270696,0.44495925,0.43740028,0.45251822
-2.945829099,1.773387129,3,6750,4.5,0,NOT_AVAILABLE,131.3184279,52.94649024,142.3503125,55.6263249,100001,6636.4434,6428.09,6843.07,0.928,0.4857,1.3883,0.4645,0.2407,0.6785,200111,2.4181676,2.2743392,2.5774682,10.219016,9.75906,10.678972
-55.71503468,9.254873187,11,6500,4.5,0,NOT_AVAILABLE,131.3127022,52.9195901,142.3112708,55.64213165,100001,7058.5,6815.42,7198,0.1177,0.0065,0.2305,0.0637,0.0029,0.1151,200111,1.1111699,1.0685174,1.1918458,2.7612474,2.7146897,2.807805
-32.1319449,0.566454094,12,5000,3,0,NOT_AVAILABLE,131.2882688,52.85333547,142.2202344,55.68652083,100001,4768.073,4680.835,4833.3833,0.291,0.1253,2.0128,0.141,0.06,0.7886,200111,9.49525,9.240378,9.85248,41.98355,38.04572,45.921383
-44.82458755,3.589252846,11,5500,4.5,0,NOT_AVAILABLE,131.1536017,52.90476723,142.3691284,55.73357133,100002,5872,5700.5405,7101.54,0.0422,0.015,0.1583,0.0183,0.0069,0.0729,200111,0.9290943,0.63522387,0.985825,0.92460984,0.91087234,0.93834734
-47.75245916,4.700774163,11,5500,4.5,0,NOT_AVAILABLE,131.1556871,52.90163568,142.3631745,55.73396,100002,5419.5,5299.2754,5747.91,0.068,0.0407,0.1555,0.033,0.0209,0.0861,200111,1.0024709,0.8911899,1.0484729,0.7810433,0.7656409,0.79644567
-69.86565505,1.226192377,9,4500,3,0,NOT_AVAILABLE,130.9897313,52.82678619,142.3313803,55.85773693,100001,5143.6665,4975.1196,5793.665,0.1183,0.0186,0.5075,0.0355,0.0074,0.2371,200111,8.110749,6.3929276,8.669609,41.4866,36.280617,46.69258
2.693173398,0.692511024,11,6250,4.5,0,NOT_AVAILABLE,131.2847371,52.74117991,142.0465606,55.74140071,100001,5934,5725.525,6217.585,0.232,0.078,0.4141,0.142,0.0452,0.211,200111,1.3107568,1.1939158,1.4079479,1.919239,1.8891577,1.9493204
-31.19892077,2.183581149,13,6000,3.5,0,NOT_AVAILABLE,131.378415,52.72340375,141.9713327,55.69970504,100002,5993,5875.6665,6321.05,1.361,0.9807,1.624,0.665,0.496,0.8131,200111,1.8662988,1.6776112,1.9415808,4.047941,3.90626,4.1896224
4.9249212,0.514664897,11,5750,4.5,0,NOT_AVAILABLE,131.2713991,52.60206765,141.8350181,55.81394837,100001,5424.65,5391.25,5539,0.2142,0.1276,0.4705,0.127,0.0469,0.233,200111,1.124446,1.078498,1.1384217,0.9864131,0.97668725,0.996139
-2.859162038,1.634950653,7,6250,4.5,0,NOT_AVAILABLE,131.7346896,53.20214856,142.5385757,55.28499686,100001,5932.5,5825,6040,,,,,,,200111,4.470107,4.3124046,4.6366205,22.298801,21.843035,22.754568
-44.97824209,0.402329211,13,4750,4.5,0,NOT_AVAILABLE,131.7350731,53.14872482,142.4556394,55.30999106,100002,4979.6025,4907.115,5312.9727,,,,,,,200111,10.914075,9.587406,11.238899,65.98531,61.361732,70.608894
-46.05354091,1.719514715,15,5500,4.5,0,NOT_AVAILABLE,131.670223,53.12611261,142.4528299,55.35496033,100001,5365.5,5342,5393,0.114,0.025,0.2361,0.056,0.012,0.1071,200111,0.82729554,0.81887996,0.8345903,0.51104236,0.5053338,0.51675093
-24.82253191,3.578568195,6,6000,3.5,0,NOT_AVAILABLE,131.9535307,52.97404108,142.0766513,55.27556932,100001,6371.9697,6318,6508.75,,,,,,,200111,1.8540928,1.7769847,1.8859042,5.1056666,4.9057508,5.3055825
-31.71731696,0.912842999,5,6500,4.5,0,NOT_AVAILABLE,131.5619652,52.97718079,142.2754657,55.48255865,100001,6279.55,6199.1333,6449.3,0.056,0,0.1648,0.0285,0,0.0765,200111,1.3241642,1.2553756,1.3587416,2.456362,2.4331543,2.4795697
-19.14196161,1.007299267,9,4500,3,0,NOT_AVAILABLE,131.7666773,52.89977514,142.0530165,55.40979676,100002,4468,4337.447,4688.5,0.3017,0.039,0.4806,0.1377,0.0457,0.2577,200111,0.64790297,0.5883943,0.6874925,0.15071875,0.14974463,0.15169287
-44.10620858,0.474885984,6,5500,4.5,0,NOT_AVAILABLE,132.0109809,52.84975422,141.8549628,55.30224265,100001,5159.5,5082,5554.6665,,,,,,,200111,3.2204375,2.778524,3.3194091,6.621478,6.5634108,6.6795454
-16.27404851,4.455208641,4,4000,3,0,NOT_AVAILABLE,132.2168095,52.6247062,141.403333,55.29393262,102001,4751.1226,4332.0376,5036.69,,,,,,,200111,0.6840656,0.60869503,0.8228218,0.2148202,0.20626137,0.22337905
-24.89399326,1.419878,16,5500,3.5,0,NOT_AVAILABLE,132.2354667,52.62009275,141.3871224,55.28591013,100001,5891.25,5832.5,6158.5,0.672,0.4223,0.8731,0.335,0.2096,0.417,200111,1.5691389,1.4359074,1.6009096,2.6720667,2.6218417,2.7222917
-9.566840601,2.424582113,9,5500,3.5,0,NOT_AVAILABLE,132.0669619,52.65052219,141.516262,55.36327772,100001,5841.5,5454.72,6583.25,0.236,0.0453,0.5081,0.1223,0.026,0.2461,200111,1.1685922,0.9200915,1.3401912,1.4325776,1.4046108,1.4605445
-16.56320684,1.383064375,9,6000,3.5,0,NOT_AVAILABLE,132.1476947,52.50320095,141.2459953,55.38624851,100001,5874,5834,5936,1.794,1.4459,2.102,0.8872,0.7073,1.0576,200111,4.9704423,4.867154,5.038834,26.498453,24.904129,28.092777
16.72367764,0.579043769,12,5000,3,0,NOT_AVAILABLE,132.1930851,52.41733471,141.0890475,55.4001224,100002,5003.8,4945.24,5161.8604,,,,,,,200111,2.5142667,2.362646,2.574165,3.5704017,3.479138,3.6616654
-36.36566147,0.307062614,5,4750,4.5,0,NOT_AVAILABLE,131.5820849,52.76839679,141.9395786,55.56968988,100001,4784.5,4740.63,4836.733,,,,,,,200111,7.1015577,6.949003,7.2336025,23.809385,23.244143,24.374628
-15.68868662,0.993336706,14,4500,3,0,NOT_AVAILABLE,131.6345948,52.59254569,141.6377578,55.62312322,100001,5103.8667,5028.5576,5248.84,0.215,0.0852,0.345,0.1123,0.0434,0.2001,200111,0.9214218,0.87122536,0.94922745,0.51904976,0.5144822,0.5236173
-88.23084143,0.508473883,11,4500,3,0,NOT_AVAILABLE,131.4220349,52.71132497,141.9304273,55.68202892,100001,4647.84,4450.223,4776,0.114,0.0156,0.7761,0.06,0.0109,0.436,200111,17.621769,16.688726,19.221544,130.55646,117.86552,143.2474
-9.605869284,0.595278469,9,5250,4.5,0,NOT_AVAILABLE,131.5587728,52.51716594,141.5569849,55.69882869,100001,5024.953,4939.03,5089.6025,,,,,,,200111,4.890915,4.7674527,5.0625677,13.740514,13.298828,14.182199
21.78402672,0.548625469,10,5500,3.5,0,NOT_AVAILABLE,131.9252761,52.49073021,141.3344384,55.5126417,100001,5095.09,5020.65,5140.48,,,,,,,200111,4.1187234,4.0463085,4.2417636,10.299767,9.966366,10.633167
-44.23206832,1.001083902,12,6250,4.5,0,NOT_AVAILABLE,132.0411547,52.35520847,141.0645356,55.51087003,100001,6495,6361,6839.79,0.583,0.3009,0.7861,0.305,0.1665,0.4251,200111,1.41477,1.2757295,1.4750046,3.2090983,3.1392832,3.2789135
-59.71561206,0.652034003,2,6000,3.5,0,NOT_AVAILABLE,131.7752808,52.409573,141.2801962,55.63097468,100001,5775,5607.0664,5981.4,,,,,,,200111,2.1561582,2.0099206,2.2872477,4.658691,4.5668383,4.7505436
-60.50659934,0.237072852,7,5000,4.5,0,NOT_AVAILABLE,131.771851,52.35238234,141.1916432,55.65886617,100001,4846.5464,4768.65,4909.66,,,,,,,200111,7.162676,6.979707,7.3985934,25.502033,24.783972,26.220095
27.43787544,4.464788513,10,6500,3.5,0,NOT_AVAILABLE,131.9103613,52.14131534,140.7898071,55.67839673,100001,7225.79,7093.686,7327,1.092,0.684,1.339,0.5653,0.34,0.6711,0,,,,,,
-106.3049726,0.621533872,10,4000,3,0,NOT_AVAILABLE,131.9276922,52.06817001,140.6652745,55.70155203,100001,3467.3333,3352,3600.655,,,,,,,200111,95.12051,88.20685,101.77879,1178.2172,974.5916,1381.8428
-46.22370982,1.546894391,13,6000,3.5,0,NOT_AVAILABLE,130.5819053,52.96280044,142.7563914,56.00724014,100001,5490.3237,5345.36,6350.66,0.1757,0.0915,0.2326,0.0777,0.0393,0.1054,200111,1.0184952,0.7612322,1.0744866,0.8491893,0.8350122,0.86336637
-38.64019296,0.22357231,9,5750,4.5,0,NOT_AVAILABLE,130.7193937,52.58461864,142.0915139,56.11749209,100001,6479.1904,6281,6734.7534,,,,,,,200111,1.793374,1.6598504,1.9083357,5.106454,5.068212,5.1446958
-24.74505186,0.340597309,12,5750,4.5,0,NOT_AVAILABLE,131.0929656,52.69288062,142.0685511,55.86659891,100001,5692.88,5545.1,5882.596,0.2033,0.0396,0.3626,0.104,0.0159,0.2075,200111,1.1942097,1.1184243,1.2587105,1.3495346,1.3367037,1.3623656
-5.019169051,0.503098068,11,5250,4.5,0,NOT_AVAILABLE,130.8817397,52.63657714,142.0888734,56.00606611,100001,4980.5337,4909.315,5069.3496,,,,,,,200111,4.6916394,4.5286827,4.8287487,12.202462,11.797408,12.607516
-27.80356441,0.708522233,10,6250,4.5,0,NOT_AVAILABLE,130.9748905,52.56480735,141.9278698,55.99040363,100001,6482.25,6357,6955.215,0.0353,0.0089,0.1578,0.0077,0.0039,0.0694,200111,1.0687615,0.92834896,1.1112914,1.8170189,1.7876896,1.8463482
-32.88948666,1.539975458,11,5500,4.5,0,NOT_AVAILABLE,131.1866523,52.54211431,141.7837408,55.88756028,100001,5474,5368.8,5842.945,0.299,0.1313,0.5297,0.1407,0.072,0.2427,200111,1.196853,1.0504777,1.2442167,1.1587656,1.1363902,1.1811409
-3.057525254,2.021065228,10,6000,3.5,0,NOT_AVAILABLE,131.2542116,52.55182481,141.7647046,55.84671844,100002,5863.75,5838.3335,5914.25,0.082,0.017,0.1645,0.0445,0.0105,0.0851,200111,1.1092058,1.0903444,1.1188846,1.3104511,1.2836701,1.3372322
0.274494924,0.483422356,9,5000,3,0,NOT_AVAILABLE,131.3006916,52.533854,141.7128755,55.83013546,100001,4743.7866,4676.35,4878.66,0.0373,0.0106,0.329,0.0213,0.006,0.1581,200111,11.007258,10.407066,11.327013,55.278164,51.025833,59.530495
22.16145298,0.877422398,12,5500,3.5,0,NOT_AVAILABLE,131.2708366,52.5256909,141.715134,55.85000745,100001,5786,5558.515,6225.675,0.034,0.0127,0.0596,0.0137,0.0079,0.0271,200111,0.8709998,0.75231904,0.9437508,0.76602787,0.7559356,0.7761201
-4.014835135,1.16746184,11,5500,3.5,0,NOT_AVAILABLE,131.0948413,52.4602711,141.7015585,55.9753243,100001,5758.3335,5621.6665,6255.0605,,,,,,,200111,2.0478156,1.7354872,2.1485937,4.1539726,3.9694471,4.338498
-38.94722489,0.251805529,7,5500,3.5,0,NOT_AVAILABLE,131.1746716,52.39792722,141.5624082,55.96148538,100001,4963.9746,4932.255,5003.8,,,,,,,200111,11.744763,11.558555,11.896312,75.45733,70.43614,80.478516
-20.17240495,1.437848719,14,5500,4.5,0,NOT_AVAILABLE,130.8929392,52.60694372,142.0364762,56.01420958,100002,5516.875,5302.3335,5675,,,,,,,0,,,,,,
27.62129326,1.633268063,10,5500,3.5,-1.5,NOT_AVAILABLE,131.0969365,52.45340051,141.6896447,55.97742119,100001,6390,6341,6748.143,,,,,,,200111,1.858408,1.6663806,1.8872405,5.1877646,4.981471,5.394058
-21.01535776,0.624291256,12,6250,4.5,0,NOT_AVAILABLE,131.1029531,52.38256813,141.5746816,56.00735948,100001,5960,5889.25,6099.5273,0.29,0.1779,0.4141,0.1485,0.1025,0.2061,200111,1.3449976,1.2841675,1.3775078,2.056472,2.0267155,2.0862286
-32.05303038,2.692931207,8,5500,4.5,0,NOT_AVAILABLE,130.4517197,52.66734733,142.3624325,56.21993094,100001,4900.98,4742.31,4981.7773,0.0107,0.004,0.146,0.0053,0.0013,0.0607,200111,0.6601121,0.6388736,0.7050236,0.22649665,0.22495568,0.22803763
