ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error
328.1885526,57.23080923,3.55E-05,0.060611664,5.86E-04,-1.698159442,0.107819364,-1.941208905,0.102355235,-62.22859452,1.346968694
310.7524608,17.88799212,3.78E-05,0.030136727,0.001254772,0.90468489,0.045315284,-4.011093132,0.048993614,-211.2488064,1.307760398
300.2918,37.51792216,7.51E-05,0.027904236,0.002690867,-2.133005042,0.045824999,-2.993343447,0.046360774,-131.9099942,0.292362151
293.3940895,28.90520501,8.71E-05,0.0404835,0.002151782,-1.992832367,0.063135536,-3.916921062,0.068707501,-70.56434378,12.15330547
305.8804612,24.46020199,9.85E-05,0.035704945,0.002760044,-2.676796687,0.048424531,-4.458107614,0.040412274,-44.28542341,1.942449634
312.7131134,53.27785735,1.24E-04,0.051201208,0.002415267,-3.075405604,0.094128733,-2.692509965,0.093587686,-62.63989811,0.438467827
313.0560762,27.7024869,1.30E-04,0.033326095,0.003898445,-3.113184349,0.043367275,-2.409442135,0.054292726,-98.77588372,4.253469259
303.5183981,41.10757564,1.53E-04,0.057243966,0.002674749,-2.245858519,0.10309337,-3.123797265,0.105280503,-113.1358923,2.279253398
308.7789646,52.54029937,2.13E-04,0.031162182,0.00682743,-1.315201228,0.062583378,-2.564068176,0.062265594,-193.8627222,1.907439278
332.288967,49.3799443,2.13E-04,0.098548043,0.002165409,-1.041701804,0.158173892,-1.558590163,0.155307644,-50.06421868,2.297692115
315.7199078,34.97235586,2.16E-04,0.030814153,0.007025577,-1.658006603,0.037984089,-2.694244863,0.047374994,14.57127707,1.238991086
305.0571859,19.08717291,2.17E-04,0.023310776,0.009295755,-3.628205084,0.035645449,-4.062642645,0.033895559,-54.132991,6.251996671
337.1341323,47.06188098,2.28E-04,0.030130694,0.007562418,-2.533761407,0.04831485,-2.34611733,0.043443292,-83.21979808,0.397068301
291.8811496,25.07652516,2.45E-04,0.055797121,0.004398937,-1.906341598,0.08463844,-3.833996392,0.087436615,-95.9549022,0.970405965
310.3536374,49.9619738,2.57E-04,0.048580159,0.005299296,-2.672327516,0.085411155,-3.673421512,0.085929884,-107.2928056,0.471430253
295.5907301,19.67628157,2.60E-04,0.05693272,0.004567782,-2.879518942,0.072263657,-5.275110877,0.084290644,1.265370187,0.966175442
304.4128245,15.29067322,2.71E-04,0.026421662,0.010238022,0.350728879,0.037712959,-0.799751472,0.031187883,-58.99875706,2.076215303
219.402402,81.26887106,2.75E-04,0.013883978,0.019816741,-1.477068544,0.025084547,-0.808714434,0.022689391,-98.87334878,3.272471727
303.2834245,36.22464084,2.80E-04,0.100131324,0.002793357,-3.45145774,0.166037691,-4.739090628,0.163074183,-28.84700453,0.131709814
298.299482,19.91457775,2.85E-04,0.040263355,0.007081574,-5.571311718,0.059757702,-5.661379664,0.054551101,-21.87853004,9.892603185
357.9737118,52.73609194,2.93E-04,0.029172706,0.010058779,3.111405747,0.037193113,-1.728173963,0.030194486,-195.7616522,1.138626827
302.434936,29.73447916,2.97E-04,0.071276122,0.004167486,-1.942045998,0.102044237,-3.678345138,0.096489889,-56.5686459,2.515274949
299.7454036,31.82241181,2.97E-04,0.08491214,0.003499952,-1.310871331,0.142446893,-3.742429672,0.150997669,-72.73665342,0.714244942
298.3222278,37.10620482,3.28E-04,0.029929937,0.010948841,-1.315426276,0.049329893,-3.647771039,0.0514896,-97.28280337,1.384170345
331.8555013,40.47762252,3.51E-04,0.017381516,0.020182718,-3.196059979,0.02309688,-2.017945485,0.029644281,-90.39500591,3.178186537
297.5060456,18.75697684,3.51E-04,0.045291786,0.007760736,-2.578415868,0.054717594,-4.687654834,0.050763786,-93.23245255,1.497131484
334.4607968,21.07697888,3.53E-04,0.025864422,0.013657355,3.648196601,0.037802931,-2.725240964,0.041865122,-117.7382735,3.294231754
336.5052322,46.37790969,3.60E-04,0.020949319,0.017180327,-2.084712504,0.029430539,-2.306688297,0.029571155,-151.6671165,1.167865714
311.672207,49.55907582,4.14E-04,0.045902174,0.009023964,-2.594159202,0.080756385,-3.606765534,0.080577859,-101.9314601,4.113085447
299.8002787,29.82575067,4.28E-04,0.053379839,0.008016473,-1.676472636,0.083786633,-5.107024861,0.079486749,-8.101431154,10.87483132
292.1653537,25.19073059,4.32E-04,0.0386802,0.011169781,-2.303676267,0.057454872,-4.70370532,0.060214984,-28.90137393,1.221284758
295.8849403,20.24946349,4.50E-04,0.052482433,0.008572764,-2.981666859,0.064961563,-4.040239249,0.065128233,-3.107164258,6.662554097
299.1935446,29.06261355,4.66E-04,0.050242743,0.009280358,-1.19775282,0.079488322,-3.605654101,0.083574547,-26.38014102,6.000439056
332.8411072,58.07997184,4.73E-04,0.049622418,0.009524522,-2.40993908,0.09006906,-2.078212584,0.100948635,-92.73437451,3.932098618
291.6877105,29.55124372,4.88E-04,0.028732174,0.016993716,-2.117981901,0.042974583,-3.127939952,0.044739028,-101.4508302,4.978025563
296.6189257,45.54742648,4.94E-04,0.047645814,0.010362297,-2.81563734,0.088581134,-4.109535864,0.076774726,-113.9460579,0.655214291
316.2656832,46.91161187,5.11E-04,0.081174377,0.006290856,-2.27688189,0.131604577,-2.378475447,0.135604493,-76.32175922,0.494051135
313.5760226,53.57482346,5.31E-04,0.091303572,0.005815693,-4.845013965,0.160596498,-4.561920724,0.16012681,-67.05207295,0.555256215
314.8829742,44.09367724,5.89E-04,0.075772234,0.007773573,-2.677407853,0.126582744,-3.543248285,0.124926556,-33.74192435,1.485478672
293.7215511,29.18950076,6.00E-04,0.022709555,0.026423624,-2.510852686,0.032773471,-4.822136718,0.03698104,-47.43186966,0.770897804
291.0706714,20.86472019,6.07E-04,0.064784102,0.00936382,-1.95716255,0.079176063,-5.322480543,0.090642015,7.237526914,1.039014803
284.0212784,35.24590074,6.22E-04,0.036634818,0.016981961,-2.368339034,0.065807927,-3.100004416,0.065194265,-62.74265906,1.034475412
302.851029,13.5305156,6.59E-04,0.074277497,0.008869623,-1.507547933,0.09877592,-2.635558308,0.074983318,31.64042323,0.876712148
299.9331446,40.72661533,6.65E-04,0.028710413,0.023152592,-2.158470995,0.050727012,-3.499928765,0.046404434,-70.0020684,1.198099191
303.3293096,35.0554593,6.85E-04,0.097664628,0.007015732,-3.025728681,0.154297232,-4.942262655,0.175651107,-29.62595792,2.707452145
308.8629511,25.26050127,7.02E-04,0.024716347,0.028414251,-1.822181663,0.03405743,-2.491309959,0.033448101,-62.86305738,1.51280236
295.592596,18.507014,7.60E-04,0.060008755,0.012664077,-4.194682871,0.073270662,-6.870270975,0.066540651,-6.313743036,5.73111565
328.6326674,34.04613954,7.64E-04,0.091256739,0.008375091,-3.85235222,0.16111922,-4.23709769,0.182692568,-0.145485983,0.375101375
297.6082091,42.26694329,7.65E-04,0.022168787,0.034508575,-2.645404347,0.033377208,-4.048726829,0.029797919,-52.35869525,0.831301867
307.9837377,22.48410669,7.69E-04,0.039440568,0.019495245,-3.165966461,0.069516916,-4.087807978,0.072023227,-46.66013154,0.508706573
271.325316,49.81347832,7.82E-04,0.016194396,0.048275784,-1.502373124,0.034462583,-1.399465365,0.031489357,-108.1115369,1.700707319
297.3310994,36.99261877,7.95E-04,0.023014298,0.034527984,-2.309051958,0.036496533,-4.062882812,0.036832779,-96.31763331,1.268328604
295.5007649,25.07574376,8.16E-04,0.067358415,0.012116445,-2.641385999,0.101879071,-3.983517297,0.104468348,48.92236416,0.301829439
350.6754639,53.48687151,8.16E-04,0.053500141,0.01525942,-1.43406395,0.076506823,-0.329906822,0.069687895,-73.82996213,0.791611875
289.244933,29.15744423,8.18E-04,0.028232234,0.028988302,-3.945485063,0.040737278,-2.253004796,0.04592971,-99.48509534,0.913274097
297.9157646,19.76691491,8.70E-04,0.061248166,0.014212223,-5.670696372,0.078679705,-5.506912377,0.082127227,-65.41927888,0.657814739
298.8570953,32.35108652,8.82E-04,0.052458702,0.016804537,-2.330977375,0.084400527,-5.151511101,0.090151722,-53.78860232,16.4573738
303.4375736,33.53815401,8.88E-04,0.084600563,0.010491924,-2.344326872,0.122432746,-3.947418806,0.151059817,-72.77498333,1.789642066
354.5404932,57.63203794,9.00E-04,0.034813321,0.025852213,-1.571871662,0.050083328,-0.80958058,0.042646937,-131.8304862,0.788335528
297.7733027,30.98945724,9.35E-04,0.041590186,0.022474626,-2.01641386,0.062933634,-5.046457377,0.080520899,-58.55038625,1.020418114
290.7221935,24.22201808,9.35E-04,0.042520129,0.021989005,-3.127023158,0.052440338,-6.741859015,0.06187066,-28.31358535,0.46424072
348.5351119,54.16031549,9.51E-04,0.039769994,0.02390287,-1.99469692,0.060969083,-0.632496581,0.052642389,-53.28549219,0.253756895
